variable,mean,std,beta_scaled,beta_unscaled
Intercept,,,70.97350580163777,67.98381435774593
Aquaculture production (metric tons),310517.8316871911,1612788.999329255,0.33058760459618397,2.049788315357263e-07
Oil rents (% of GDP),3.3107114739581807,8.056181607990652,-1.0938231169716683,-0.13577438670036218
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",56.149506881198,97.58516681939558,1.0815072330765303,0.011082701073597743
Population density (people per sq. km of land area),158.69909512906867,278.98686874426545,0.5699373637827427,0.0020428823992615164
Forest area (% of land area),32.412719957992024,22.886811067958153,0.3494479545890043,0.015268529702603967
Arable land (% of land area),15.448719311752775,13.980983664885985,0.31416300126494745,0.02247073659444902
Capture fisheries production (metric tons),475342.05988129217,1092620.373949365,0.5837009530238174,5.342211869196462e-07
Fertilizer consumption (kilograms per hectare of arable land),143.9444325703175,198.61582627813908,1.4113298708675552,0.007105827855284537
Methane (CH4) emissions from Building (Energy) (Mt CO2e),1.3519461768490815,3.6030802217390834,-1.1526366512811823,-0.3199031329712787
Forest rents (% of GDP),1.5847829198053633,3.006509708378051,-3.0727354414603183,-1.0220274469421202
Rural population growth (annual %),0.3168945772377153,1.6565251760287953,-1.2344441293830404,-0.7452009466843033
Natural gas rents (% of GDP),0.4979275815319675,1.3645879615053542,-0.6794656305376552,-0.49792732290273045
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),34.69471835081705,57.523128900159016,-0.4999727829984777,-0.00869168267717606
Renewable internal freshwater resources per capita (cubic meters),14747.228657763484,31122.905370940996,0.8304539074701147,2.66830457366457e-05
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),4.654075358553588,5.6581820250145265,2.72494691341902,0.48159407056403847
Mineral rents (% of GDP),0.8960465226266794,2.0358179463892294,-0.4826372327239177,-0.23707288442954022
Coal rents (% of GDP),0.22993345312950794,0.9027707578010726,-0.2532660322584416,-0.28054301722769054
GOAL 13: Climate Action (5 year moving average),0.5924227036395148,0.44372033587491444,0.5917929641920389,1.3337071041045692
