Index,Country Code,Series Code,Year,Value
112,LSO,SP.ADO.TFRT,2021,73.048
113,LBR,SP.ADO.TFRT,2021,129.044
114,LBY,SP.ADO.TFRT,2021,6.274
115,LIE,SP.ADO.TFRT,2021,1.631
116,LTU,SP.ADO.TFRT,2021,6.867
117,LUX,SP.ADO.TFRT,2021,3.604
118,MAC,SP.ADO.TFRT,2021,0.814
119,MDG,SP.ADO.TFRT,2021,133.195
120,MWI,SP.ADO.TFRT,2021,116.517
121,MYS,SP.ADO.TFRT,2021,6.364
122,MDV,SP.ADO.TFRT,2021,6.036
123,MLI,SP.ADO.TFRT,2021,141.933
124,MLT,SP.ADO.TFRT,2021,10.546
125,MHL,SP.ADO.TFRT,2021,71.146
126,MRT,SP.ADO.TFRT,2021,91.693
127,MUS,SP.ADO.TFRT,2021,21.346
128,MEX,SP.ADO.TFRT,2021,62.033
129,FSM,SP.ADO.TFRT,2021,44.033
130,MDA,SP.ADO.TFRT,2021,24.97
131,MCO,SP.ADO.TFRT,2021,9.868
132,MNG,SP.ADO.TFRT,2021,22.428
133,MNE,SP.ADO.TFRT,2021,10.326
134,MAR,SP.ADO.TFRT,2021,26.205
135,MOZ,SP.ADO.TFRT,2021,156.822
136,MMR,SP.ADO.TFRT,2021,34.141
137,NAM,SP.ADO.TFRT,2021,68.37
138,NRU,SP.ADO.TFRT,2021,80.579
139,NPL,SP.ADO.TFRT,2021,68.777
140,NLD,SP.ADO.TFRT,2021,2.227
141,NCL,SP.ADO.TFRT,2021,12.373
142,NZL,SP.ADO.TFRT,2021,10.911
143,NIC,SP.ADO.TFRT,2021,95.052
144,NER,SP.ADO.TFRT,2021,148.248
145,NGA,SP.ADO.TFRT,2021,88.457
146,MKD,SP.ADO.TFRT,2021,15.952
147,MNP,SP.ADO.TFRT,2021,26.734
148,NOR,SP.ADO.TFRT,2021,1.715
149,OMN,SP.ADO.TFRT,2021,6.743
150,PAK,SP.ADO.TFRT,2021,43.372
151,PLW,SP.ADO.TFRT,2021,30.02
152,PAN,SP.ADO.TFRT,2021,58.035
153,PNG,SP.ADO.TFRT,2021,55.664
154,PRY,SP.ADO.TFRT,2021,71.902
155,PER,SP.ADO.TFRT,2021,44.42
156,PHL,SP.ADO.TFRT,2021,32.45
157,POL,SP.ADO.TFRT,2021,6.772
158,PRT,SP.ADO.TFRT,2021,5.811
159,PRI,SP.ADO.TFRT,2021,14.896
160,QAT,SP.ADO.TFRT,2021,4.894
161,ROU,SP.ADO.TFRT,2021,33.234
162,RUS,SP.ADO.TFRT,2021,13.565
163,RWA,SP.ADO.TFRT,2021,31.158
164,WSM,SP.ADO.TFRT,2021,44.02
165,SMR,SP.ADO.TFRT,2021,1.177
166,STP,SP.ADO.TFRT,2021,87.903
167,SAU,SP.ADO.TFRT,2021,10.467
168,SEN,SP.ADO.TFRT,2021,62.176
169,SRB,SP.ADO.TFRT,2021,13.739
170,SYC,SP.ADO.TFRT,2021,56.384
171,SLE,SP.ADO.TFRT,2021,98.06
172,SGP,SP.ADO.TFRT,2021,2.16
173,SXM,SP.ADO.TFRT,2021,17.177
174,SVK,SP.ADO.TFRT,2021,25.872
175,SVN,SP.ADO.TFRT,2021,3.83
176,SLB,SP.ADO.TFRT,2021,51.836
177,SOM,SP.ADO.TFRT,2021,120.995
178,ZAF,SP.ADO.TFRT,2021,52.546
179,SSD,SP.ADO.TFRT,2021,99.485
180,ESP,SP.ADO.TFRT,2021,4.702
181,LKA,SP.ADO.TFRT,2021,15.401
182,KNA,SP.ADO.TFRT,2021,36.993
183,LCA,SP.ADO.TFRT,2021,28.84
184,MAF,SP.ADO.TFRT,2021,15.065
185,VCT,SP.ADO.TFRT,2021,44.54
186,SDN,SP.ADO.TFRT,2021,69.14
187,SUR,SP.ADO.TFRT,2021,49.56
188,SWE,SP.ADO.TFRT,2021,2.38
189,CHE,SP.ADO.TFRT,2021,1.471
190,SYR,SP.ADO.TFRT,2021,40.73
191,TJK,SP.ADO.TFRT,2021,43.993
192,TZA,SP.ADO.TFRT,2021,115.452
193,THA,SP.ADO.TFRT,2021,27.475
194,TLS,SP.ADO.TFRT,2021,28.284
195,TGO,SP.ADO.TFRT,2021,79.696
196,TON,SP.ADO.TFRT,2021,24.728
197,TTO,SP.ADO.TFRT,2021,37.22
198,TUN,SP.ADO.TFRT,2021,4.321
199,TUR,SP.ADO.TFRT,2021,13.63
200,TKM,SP.ADO.TFRT,2021,24.023
201,TCA,SP.ADO.TFRT,2021,17.257
202,TUV,SP.ADO.TFRT,2021,28.474
203,UGA,SP.ADO.TFRT,2021,110.964
204,UKR,SP.ADO.TFRT,2021,14.417
205,ARE,SP.ADO.TFRT,2021,2.563
206,GBR,SP.ADO.TFRT,2021,8.578
207,USA,SP.ADO.TFRT,2021,13.724
208,URY,SP.ADO.TFRT,2021,27.356
209,UZB,SP.ADO.TFRT,2021,31.127
210,VUT,SP.ADO.TFRT,2021,68.166
211,VEN,SP.ADO.TFRT,2021,73.384
212,VNM,SP.ADO.TFRT,2021,34.666
213,VIR,SP.ADO.TFRT,2021,31.787
214,PSE,SP.ADO.TFRT,2021,37.919
215,YEM,SP.ADO.TFRT,2021,74.54
216,ZMB,SP.ADO.TFRT,2021,118.744
217,ZWE,SP.ADO.TFRT,2021,99.199
218,AFE,SP.ADO.TFRT,2021,94.65951333107083
219,AFW,SP.ADO.TFRT,2021,97.19920965224132
220,ARB,SP.ADO.TFRT,2021,46.2122880151709
221,CSS,SP.ADO.TFRT,2021,50.75094580113666
222,CEB,SP.ADO.TFRT,2021,16.715009524317196
223,EAR,SP.ADO.TFRT,2021,34.0762667289013
224,EAS,SP.ADO.TFRT,2021,15.197225339807346
225,EAP,SP.ADO.TFRT,2021,16.291110017635788
226,TEA,SP.ADO.TFRT,2021,16.500074834791395
227,EMU,SP.ADO.TFRT,2021,5.176841390186908
228,ECS,SP.ADO.TFRT,2021,12.437656491954147
229,ECA,SP.ADO.TFRT,2021,20.42784001883295
230,TEC,SP.ADO.TFRT,2021,18.293026941961102
231,EUU,SP.ADO.TFRT,2021,7.235337558274584
232,FCS,SP.ADO.TFRT,2021,85.07303574115167
233,HPC,SP.ADO.TFRT,2021,97.99685654307625
234,HIC,SP.ADO.TFRT,2021,9.45815076397394
235,IBD,SP.ADO.TFRT,2021,23.30540271516504
236,IBT,SP.ADO.TFRT,2021,43.461441379790315
237,IDB,SP.ADO.TFRT,2021,66.68275186139513
238,IDX,SP.ADO.TFRT,2021,87.41228775505942
239,IDA,SP.ADO.TFRT,2021,80.60359877055254
240,LTE,SP.ADO.TFRT,2021,16.518765377551915
241,LCN,SP.ADO.TFRT,2021,53.257509910925066
242,LAC,SP.ADO.TFRT,2021,53.63306346325497
243,TLA,SP.ADO.TFRT,2021,53.498805196608814
244,LDC,SP.ADO.TFRT,2021,92.44876460753379
245,LMY,SP.ADO.TFRT,2021,43.81397127574519
246,LIC,SP.ADO.TFRT,2021,94.00799771771489
247,LMC,SP.ADO.TFRT,2021,42.25580062210469
248,MEA,SP.ADO.TFRT,2021,35.48281913637772
249,MNA,SP.ADO.TFRT,2021,38.468256103299595
250,TMN,SP.ADO.TFRT,2021,38.47610297714322
251,MIC,SP.ADO.TFRT,2021,35.50263446956641
252,NAC,SP.ADO.TFRT,2021,12.97710711862309
253,OED,SP.ADO.TFRT,2021,18.67841671355274
254,OSS,SP.ADO.TFRT,2021,27.980639020078
255,PSS,SP.ADO.TFRT,2021,41.63610842913246
256,PST,SP.ADO.TFRT,2021,8.89615665097118
257,PRE,SP.ADO.TFRT,2021,100.06695592688003
258,SST,SP.ADO.TFRT,2021,33.77328856350528
259,SAS,SP.ADO.TFRT,2021,26.79098445108719
260,TSA,SP.ADO.TFRT,2021,26.79098445108719
261,SSF,SP.ADO.TFRT,2021,95.68122847650699
262,SSA,SP.ADO.TFRT,2021,95.6830044000001
263,TSS,SP.ADO.TFRT,2021,95.68122847650702
264,UMC,SP.ADO.TFRT,2021,24.872370757820576
265,WLD,SP.ADO.TFRT,2021,39.731905972544645
266,AFG,SH.HIV.INCD.TL,2021,1200.0
267,ALB,SH.HIV.INCD.TL,2021,100.0
268,DZA,SH.HIV.INCD.TL,2021,2200.0
269,AGO,SH.HIV.INCD.TL,2021,16000.0
270,ARM,SH.HIV.INCD.TL,2021,520.0
271,AUS,SH.HIV.INCD.TL,2021,500.0
272,AZE,SH.HIV.INCD.TL,2021,550.0
273,BHS,SH.HIV.INCD.TL,2021,100.0
274,BGD,SH.HIV.INCD.TL,2021,1200.0
275,BRB,SH.HIV.INCD.TL,2021,100.0
276,BLR,SH.HIV.INCD.TL,2021,1100.0
277,BEL,SH.HIV.INCD.TL,2021,500.0
278,BLZ,SH.HIV.INCD.TL,2021,200.0
279,BEN,SH.HIV.INCD.TL,2021,1800.0
280,BTN,SH.HIV.INCD.TL,2021,100.0
281,BOL,SH.HIV.INCD.TL,2021,1900.0
282,BWA,SH.HIV.INCD.TL,2021,4800.0
283,BRA,SH.HIV.INCD.TL,2021,50000.0
284,BGR,SH.HIV.INCD.TL,2021,500.0
285,BFA,SH.HIV.INCD.TL,2021,2100.0
286,BDI,SH.HIV.INCD.TL,2021,1200.0
287,CPV,SH.HIV.INCD.TL,2021,200.0
288,KHM,SH.HIV.INCD.TL,2021,1400.0
289,CMR,SH.HIV.INCD.TL,2021,12000.0
290,CAF,SH.HIV.INCD.TL,2021,9900.0
291,TCD,SH.HIV.INCD.TL,2021,4100.0
292,CHL,SH.HIV.INCD.TL,2021,4700.0
293,COL,SH.HIV.INCD.TL,2021,9400.0
