CountryShortName,Year,IndicatorName,Value
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",1060589627.99948
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",8954232363.40271
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",9064664656.87047
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",9987314244.37834
Albania,2021.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",9866892202.40716
Albania,2022.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",9943680906.16411
Albania,2023.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",11047903872.3778
Albania,2021.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",5605852566.18831
Albania,2022.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",5871433826.68255
Albania,2023.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",7138353600.72878
Albania,2021.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",1300988138.52608
Albania,2022.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",1217896306.63337
Albania,2023.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",1627861395.75087
Albania,2021.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",4873807.35748082
Albania,2022.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",4009354.87479171
Albania,2023.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",3356628.48794584
Albania,2021.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",6911714512.07188
Albania,2022.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",7093339488.19071
Albania,2023.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",8769571624.96759
Australia,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",1836600413500.0
Australia,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",1899964026150.0
Australia,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",1861471090050.0
Australia,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",2270294795400.0
Australia,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",2259077514425.0
Australia,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",2212438168150.0
Australia,2021.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",2270294795400.0
Australia,2022.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",2259077514425.0
Australia,2023.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",2212438168150.0
Australia,2021.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",433694381900.0
Australia,2022.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",359113488275.0
Australia,2023.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",350967078100.001
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",54145973500.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",58584931499.9999
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",59097192750.0001
Australia,2021.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",384835272150.0
Australia,2022.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",438725940600.0
Australia,2023.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",393077082900.001
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",52471364050.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",58926835924.9999
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",55097121100.0001
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",835466490400.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",853437492399.999
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",882866769250.002
Australia,2021.0,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",1004777427550.0
Australia,2022.0,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",910049641549.999
Australia,2023.0,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",921253950700.002
Australia,2021.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",930252204800.0
Australia,2022.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",952485397599.999
Australia,2023.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",975401130550.002
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",427119613200.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",331875519075.0
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",292006193250.001
Australia,2021.0,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",427119613200.0
Australia,2022.0,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",331875519075.0
Australia,2023.0,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",292006193250.001
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",306783336350.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",311063052325.0
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",326717745700.001
Australia,2021.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",384177396650.0
Australia,2022.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",391900955250.0
Australia,2023.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",409200238400.001
Australia,2021.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",135119568650.0
Australia,2022.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",131604787325.0
Australia,2023.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",130245971600.0
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",8790739950.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",12484914575.0
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",12507551450.0
Australia,2021.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",8790739950.0
Australia,2022.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",12484914575.0
Australia,2023.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",12507551450.0
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",52471364050.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",58926835924.9999
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",55097121100.0001
Australia,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",1632306153400.0
Australia,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",1567445909875.0
Australia,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",1573195452400.0
Australia,2021.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",1684777517450.0
Australia,2022.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",1626372745800.0
Australia,2023.0,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",1628292573500.0
Australia,2021.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",330689298650.0
Australia,2022.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",380141009100.0
Australia,2023.0,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",333979890150.001
Australia,2021.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",42314350350.0
Australia,2022.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",40121069275.0
Australia,2023.0,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",37437240200.0001
Australia,2021.0,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",77394060300.0
Australia,2022.0,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",80837902924.9999
Australia,2023.0,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",82482492700.0002
Australia,2021.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",135119568650.0
Australia,2022.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",131604787325.0
Australia,2023.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",130245971600.0
Australia,2021.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",585517277950.0
Australia,2022.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",632704768625.0
Australia,2023.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",584145594650.001
Bangladesh,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",125318206204.067
Bangladesh,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",123421144274.6
Bangladesh,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",112619087529.25
Bangladesh,2021.0,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",70868964718.0706
Bangladesh,2022.0,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",78153831410.9895
Bangladesh,2023.0,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",90838126710.3497
Bangladesh,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",126183351046.799
Bangladesh,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",124541986061.204
