Country Code,Series Code,Year,Value
AUS,DP.DOD.DECT.CR.PS.CD,2021,2270294795400.0
AUS,DP.DOD.DECT.CR.PS.CD,2022,2259077514424.9985
AUS,DP.DOD.DECT.CR.PS.CD,2023,2212438168150.0044
AUS,DP.DOD.DECX.CR.PS.CD,2021,433694381900.0
AUS,DP.DOD.DECX.CR.PS.CD,2022,359113488274.9997
AUS,DP.DOD.DECX.CR.PS.CD,2023,350967078100.0007
AUS,DP.DOD.DLCD.CR.M1.PS.CD,2021,54145973500.0
AUS,DP.DOD.DLCD.CR.M1.PS.CD,2022,58584931499.99995
AUS,DP.DOD.DLCD.CR.M1.PS.CD,2023,59097192750.000114
AUS,DP.DOD.DLCD.CR.PS.CD,2021,384835272150.0
AUS,DP.DOD.DLCD.CR.PS.CD,2022,438725940599.99963
AUS,DP.DOD.DLCD.CR.PS.CD,2023,393077082900.0008
AUS,DP.DOD.DLDS.CR.L1.PS.CD,2021,52471364050.0
AUS,DP.DOD.DLDS.CR.L1.PS.CD,2022,58926835924.99995
AUS,DP.DOD.DLDS.CR.L1.PS.CD,2023,55097121100.000084
AUS,DP.DOD.DLDS.CR.M1.PS.CD,2021,835466490400.0
AUS,DP.DOD.DLDS.CR.M1.PS.CD,2022,853437492399.9994
AUS,DP.DOD.DLDS.CR.M1.PS.CD,2023,882866769250.0017
AUS,DP.DOD.DLDS.CR.MV.PS.CD,2021,1004777427550.0
AUS,DP.DOD.DLDS.CR.MV.PS.CD,2022,910049641549.9993
AUS,DP.DOD.DLDS.CR.MV.PS.CD,2023,921253950700.0017
AUS,DP.DOD.DLDS.CR.PS.CD,2021,930252204800.0
AUS,DP.DOD.DLDS.CR.PS.CD,2022,952485397599.9993
AUS,DP.DOD.DLDS.CR.PS.CD,2023,975401130550.0018
AUS,DP.DOD.DLIN.CR.M1.PS.CD,2021,427119613200.0
AUS,DP.DOD.DLIN.CR.M1.PS.CD,2022,331875519074.9997
AUS,DP.DOD.DLIN.CR.M1.PS.CD,2023,292006193250.00055
AUS,DP.DOD.DLIN.CR.PS.CD,2021,427119613200.0
AUS,DP.DOD.DLIN.CR.PS.CD,2022,331875519074.9997
AUS,DP.DOD.DLIN.CR.PS.CD,2023,292006193250.00055
AUS,DP.DOD.DLLO.CR.M1.PS.CD,2021,306783336350.0
AUS,DP.DOD.DLLO.CR.M1.PS.CD,2022,311063052324.99976
AUS,DP.DOD.DLLO.CR.M1.PS.CD,2023,326717745700.0006
AUS,DP.DOD.DLLO.CR.PS.CD,2021,384177396650.0
AUS,DP.DOD.DLLO.CR.PS.CD,2022,391900955249.99976
AUS,DP.DOD.DLLO.CR.PS.CD,2023,409200238400.0008
AUS,DP.DOD.DLOA.CR.PS.CD,2021,135119568650.0
AUS,DP.DOD.DLOA.CR.PS.CD,2022,131604787324.99991
AUS,DP.DOD.DLOA.CR.PS.CD,2023,130245971600.00024
AUS,DP.DOD.DLSD.CR.M1.PS.CD,2021,8790739950.0
AUS,DP.DOD.DLSD.CR.M1.PS.CD,2022,12484914574.999992
AUS,DP.DOD.DLSD.CR.M1.PS.CD,2023,12507551450.000025
AUS,DP.DOD.DLSD.CR.PS.CD,2021,8790739950.0
AUS,DP.DOD.DLSD.CR.PS.CD,2022,12484914574.999992
AUS,DP.DOD.DLSD.CR.PS.CD,2023,12507551450.000025
AUS,DP.DOD.DLTC.CR.L1.PS.CD,2021,52471364050.0
AUS,DP.DOD.DLTC.CR.L1.PS.CD,2022,58926835924.99995
AUS,DP.DOD.DLTC.CR.L1.PS.CD,2023,55097121100.000084
AUS,DP.DOD.DLTC.CR.M1.PS.CD,2021,1632306153400.0
AUS,DP.DOD.DLTC.CR.M1.PS.CD,2022,1567445909874.9988
AUS,DP.DOD.DLTC.CR.M1.PS.CD,2023,1573195452400.003
AUS,DP.DOD.DLTC.CR.PS.CD,2021,1684777517450.0
AUS,DP.DOD.DLTC.CR.PS.CD,2022,1626372745799.9988
AUS,DP.DOD.DLTC.CR.PS.CD,2023,1628292573500.003
AUS,DP.DOD.DSCD.CR.PS.CD,2021,330689298650.0
AUS,DP.DOD.DSCD.CR.PS.CD,2022,380141009099.99976
AUS,DP.DOD.DSCD.CR.PS.CD,2023,333979890150.0007
AUS,DP.DOD.DSDS.CR.PS.CD,2021,42314350350.0
AUS,DP.DOD.DSDS.CR.PS.CD,2022,40121069274.99997
AUS,DP.DOD.DSDS.CR.PS.CD,2023,37437240200.00007
AUS,DP.DOD.DSLO.CR.PS.CD,2021,77394060300.0
AUS,DP.DOD.DSLO.CR.PS.CD,2022,80837902924.99994
AUS,DP.DOD.DSLO.CR.PS.CD,2023,82482492700.00015
AUS,DP.DOD.DSOA.CR.PS.CD,2021,135119568650.0
AUS,DP.DOD.DSOA.CR.PS.CD,2022,131604787324.99991
AUS,DP.DOD.DSOA.CR.PS.CD,2023,130245971600.00024
AUS,DP.DOD.DSTC.CR.PS.CD,2021,585517277950.0
AUS,DP.DOD.DSTC.CR.PS.CD,2022,632704768624.9995
AUS,DP.DOD.DSTC.CR.PS.CD,2023,584145594650.0011
BGD,DP.DOD.DECD.CR.PS.CD,2021,125318206204.06686
BGD,DP.DOD.DECD.CR.PS.CD,2022,123421144274.60046
BGD,DP.DOD.DECD.CR.PS.CD,2023,112619087529.25002
BGD,DP.DOD.DECF.CR.PS.CD,2021,70868964718.0706
BGD,DP.DOD.DECF.CR.PS.CD,2022,78153831410.98947
BGD,DP.DOD.DECF.CR.PS.CD,2023,90838126710.3497
BGD,DP.DOD.DECN.CR.PS.CD,2021,126183351046.79927
BGD,DP.DOD.DECN.CR.PS.CD,2022,124541986061.2038
BGD,DP.DOD.DECN.CR.PS.CD,2023,113324826277.0636
BGD,DP.DOD.DECT.CR.PS.CD,2021,197052315764.87006
BGD,DP.DOD.DECT.CR.PS.CD,2022,202695817472.1935
BGD,DP.DOD.DECT.CR.PS.CD,2023,204162952987.4134
BGD,DP.DOD.DECX.CR.PS.CD,2021,71734109560.8033
BGD,DP.DOD.DECX.CR.PS.CD,2022,79274673197.5931
BGD,DP.DOD.DECX.CR.PS.CD,2023,91543865458.16335
BGD,DP.DOD.DLCD.CR.L1.PS.CD,2021,969906734.8709712
